user_id,timestamp,message
U104,2025-07-23 09:07:00,Good work on the last project!
U115,2025-07-25 11:56:00,"I'm quitting soon, need client details"
U125,2025-07-23 10:01:00,"This security training is useless, ignoring it"
U113,2025-07-24 21:25:00,"Need VPN credentials urgently, don't tell anyone"
U107,2025-07-21 18:51:00,Let's plan for the client presentation
U108,2025-07-24 11:10:00,Can you give me the admin password?
U126,2025-07-21 08:23:00,Please send me the payroll data ASAP
U115,2025-07-23 13:55:00,Can you give me the admin password?
U110,2025-07-24 09:21:00,Downloading confidential docs before leaving
U110,2025-07-20 12:57:00,Downloading confidential docs before leaving
U130,2025-07-22 12:40:00,Can you give me the admin password?
U125,2025-07-22 17:58:00,Sending client list outside for personal work
U125,2025-07-22 17:00:00,Please send me the payroll data ASAP
U129,2025-07-23 18:23:00,Downloading confidential docs before leaving
U125,2025-07-24 09:25:00,"Need VPN credentials urgently, don't tell anyone"
U107,2025-07-24 21:46:00,Sending client list outside for personal work
U101,2025-07-20 20:02:00,Good work on the last project!
U105,2025-07-21 15:15:00,"I'm quitting soon, need client details"
U123,2025-07-25 21:43:00,"I'm quitting soon, need client details"
U122,2025-07-23 14:52:00,"I'm quitting soon, need client details"
U121,2025-07-21 17:25:00,Can you give me the admin password?
U119,2025-07-20 12:12:00,Downloading confidential docs before leaving
U120,2025-07-22 15:38:00,"This security training is useless, ignoring it"
U119,2025-07-21 21:45:00,Reminder: Team meeting at 3 PM
U120,2025-07-25 11:08:00,Can you give me the admin password?
U105,2025-07-25 22:30:00,"Need VPN credentials urgently, don't tell anyone"
U125,2025-07-24 08:03:00,Let's plan for the client presentation
U111,2025-07-23 08:02:00,Please send me the payroll data ASAP
U114,2025-07-24 13:18:00,Please send me the payroll data ASAP
U123,2025-07-23 22:56:00,"I'm quitting soon, need client details"
U105,2025-07-21 12:47:00,Sending client list outside for personal work
U115,2025-07-25 11:49:00,Can someone approve my leave?
U104,2025-07-24 20:15:00,"This security training is useless, ignoring it"
U112,2025-07-21 20:58:00,"This security training is useless, ignoring it"
U116,2025-07-22 14:46:00,Good work on the last project!
U110,2025-07-20 20:46:00,"This security training is useless, ignoring it"
U128,2025-07-21 22:26:00,See you at the monthly townhall
U110,2025-07-20 14:31:00,"This security training is useless, ignoring it"
U110,2025-07-24 14:57:00,Downloading confidential docs before leaving
U120,2025-07-24 10:15:00,"Need VPN credentials urgently, don't tell anyone"
U125,2025-07-24 20:21:00,"I'm quitting soon, need client details"
U104,2025-07-20 14:18:00,Sending client list outside for personal work
U124,2025-07-24 10:07:00,Reminder: Team meeting at 3 PM
U121,2025-07-21 08:54:00,Sending client list outside for personal work
U115,2025-07-21 22:25:00,Sending client list outside for personal work
U120,2025-07-22 08:02:00,Can you give me the admin password?
U118,2025-07-25 10:54:00,Can someone approve my leave?
U119,2025-07-20 19:16:00,Please send me the payroll data ASAP
U104,2025-07-20 16:00:00,"I'm quitting soon, need client details"
U117,2025-07-24 10:19:00,"This security training is useless, ignoring it"
U121,2025-07-24 17:32:00,Sending client list outside for personal work
U116,2025-07-22 15:55:00,"This security training is useless, ignoring it"
U105,2025-07-22 21:06:00,Sending client list outside for personal work
U117,2025-07-23 17:18:00,Let's plan for the client presentation
U111,2025-07-24 16:02:00,Can you give me the admin password?
U124,2025-07-25 14:22:00,Sending client list outside for personal work
U120,2025-07-25 08:50:00,"I'm quitting soon, need client details"
U109,2025-07-24 12:50:00,Reminder: Team meeting at 3 PM
